Gridpoint,X_m,Y_m,Z_m,X_disp_mm,Y_disp_mm,Z_disp_mm,XY_disp_mm,XYZ_disp_mm
17914,569741.1159,5209434.419,371.77,0.000378874,-0.000101917,0.00058732,0.000392342,0.000706313
17926,569745.9242,5209430.853,372.14,5.13147E-05,7.33373E-05,0.000588257,8.95073E-05,0.000595027
17938,569743.6199,5209437.876,371.78,0.000369868,-7.89611E-05,0.000565878,0.000378203,0.000680629
17950,569748.4277,5209434.279,372.14,5.82491E-05,8.32477E-05,0.000560121,0.000101603,0.000569261
17962,569746.1234,5209441.302,371.77,0.000360534,-7.16494E-05,0.000535521,0.000367585,0.000649539
17974,569750.9317,5209437.736,372.14,6.22724E-05,8.89977E-05,0.000525093,0.000108621,0.00053621
17986,569748.6268,5209444.729,371.77,0.000365718,-7.40947E-05,0.000499213,0.000373148,0.00062326
17998,569753.4352,5209441.163,372.14,6.33796E-05,9.058E-05,0.000504429,0.000110552,0.000516402
18010,569751.1309,5209448.186,371.77,0.00035603,-4.84171E-05,0.000471067,0.000359307,0.000592457
18022,569755.9386,5209444.59,372.14,7.56749E-05,0.000108152,0.000476557,0.000131998,0.0004945
18034,569753.6343,5209451.613,371.77,0.000356162,-1.89626E-05,0.00046937,0.000356667,0.000589508
18046,569758.4427,5209448.047,372.14,8.7567E-05,0.000125148,0.000473139,0.000152741,0.000497183
18058,569756.1378,5209455.039,371.78,0.000352956,2.68369E-06,0.000463748,0.000352966,0.000582792
18070,569760.9462,5209451.473,372.14,9.62349E-05,0.000137536,0.000462449,0.000167861,0.000491972
18082,569758.6419,5209458.497,371.79,0.000350604,1.54112E-05,0.000450547,0.000350943,0.000571098
18094,569763.4496,5209454.9,372.14,0.000105712,0.00015108,0.000448661,0.000184392,0.000485074
18106,569761.1453,5209461.923,371.8,0.000351272,2.03603E-05,0.000438357,0.000351861,0.000562106
18118,569765.9537,5209458.357,372.14,0.000115796,0.000165492,0.000439556,0.000201981,0.000483741
18130,569763.6488,5209465.35,371.78,0.000333703,2.20553E-05,0.000427157,0.000334431,0.000542501
18142,569768.4571,5209461.784,372.14,0.000108549,0.000155135,0.000429065,0.00018934,0.000468985
18154,569766.1528,5209468.807,371.77,0.000323441,9.04775E-06,0.000427768,0.000323568,0.00053636
18166,569770.9606,5209465.211,372.14,0.00011064,0.000158123,0.000439707,0.000192987,0.000480194
18178,569768.6563,5209472.234,371.77,0.000309347,2.72711E-08,0.00042575,0.000309347,0.000526268
18190,569773.4646,5209468.668,372.14,8.97037E-05,0.000128202,0.000450775,0.000156469,0.000477159
18202,569771.1597,5209475.66,371.77,0.000308714,-2.77118E-05,0.000426993,0.000309955,0.000527632
18214,569775.9681,5209472.094,372.14,8.10392E-05,0.000115819,0.000447864,0.000141355,0.000469642
18226,569773.6638,5209479.117,371.77,0.000300507,-2.92248E-05,0.00042163,0.000301925,0.000518585
18238,569778.4716,5209475.521,372.14,8.24221E-05,0.000117795,0.000455603,0.000143767,0.000477748
18250,569776.1673,5209482.544,371.77,0.00028706,-3.5632E-05,0.000414193,0.000289263,0.000505202
18262,569780.9756,5209478.978,372.14,5.51568E-05,7.88282E-05,0.00046413,9.62089E-05,0.000473997
18274,569778.6707,5209485.971,371.77,0.000249034,-6.75418E-05,0.00038124,0.00025803,0.000460351
18286,569783.4791,5209482.405,372.14,3.20017E-05,4.57357E-05,0.000447109,5.58199E-05,0.00045058
18298,569781.1748,5209489.428,371.76,0.000220218,-0.000104756,0.000434266,0.000243864,0.000498053
18310,569785.9825,5209485.831,372.33,1.14318E-05,1.63379E-05,0.000483875,1.99403E-05,0.000484286
18322,569783.6782,5209492.855,371.75,0.000212321,-0.00015359,0.000379736,0.00026205,0.000461378
18334,569788.4866,5209489.289,372.6,5.22407E-07,7.46607E-07,0.000448362,9.11225E-07,0.000448363
18346,569786.1817,5209496.281,371.98,0.000108552,-0.000174279,0.000420362,0.00020532,0.000467825
18358,569790.99,5209492.715,372.88,-5.79807E-05,-8.28641E-05,0.000475067,0.000101135,0.000485713
18370,569788.6857,5209499.738,372.25,2.68563E-05,-0.000230422,0.000363459,0.000231982,0.000431182
18382,569793.4935,5209496.142,373.15,-0.000111477,-0.000159319,0.000412156,0.000194447,0.000455722
18394,569791.1892,5209503.165,372.53,-3.90999E-05,-0.00031003,0.00040666,0.000312486,0.000512855
18406,569795.9975,5209499.599,373.43,-0.000164753,-0.000235459,0.000449426,0.000287375,0.000533449
18418,569793.6926,5209506.592,372.8,-0.000117428,-0.000381178,0.000386807,0.000398855,0.000555612
18430,569798.501,5209503.026,373.71,-0.000216488,-0.000309398,0.000419448,0.000377616,0.000564386
18442,569796.1967,5209510.049,373.08,-0.000179275,-0.000475434,0.000438572,0.000508112,0.00067121
18454,569801.0045,5209506.452,373.98,-0.000271034,-0.000387353,0.000463682,0.000472759,0.000662195
18466,569798.7002,5209513.475,373.35,-0.000262915,-0.000560613,0.000426716,0.000619202,0.000751996
18478,569803.5085,5209509.909,374.26,-0.000323535,-0.000462386,0.000450564,0.000564337,0.000722138
18490,569801.2036,5209516.902,373.63,-0.000290519,-0.000644809,0.000462185,0.000707234,0.000844864
18502,569806.012,5209513.336,374.53,-0.000385961,-0.000551603,0.000473217,0.000673225,0.000822901
18514,569803.7077,5209520.359,373.91,-0.00032587,-0.00073108,0.000466702,0.000800418,0.000926542
18526,569808.5154,5209516.763,374.81,-0.000436389,-0.000623672,0.000517843,0.000761184,0.000920632
18538,569806.2111,5209523.786,374.18,-0.000364447,-0.000809676,0.000501432,0.000887917,0.001019721
18550,569811.0195,5209520.22,375.08,-0.000484626,-0.000692611,0.000544403,0.000845324,0.001005458
18562,569808.7146,5209527.213,374.46,-0.000399872,-0.000882939,0.000499597,0.000969267,0.001090448
